209,Jake Funk,RB,LAR,6.4,6.8,7.2,0,0,0,0.0,0.0,15,59,0.0,1,1,5,0.0
210,Andy Janovich,RB,HOU,6.2,9.2,12.3,0,0,0,0.0,0.0,2,9,0.2,8,6,33,0.1
211,Tyler Badie,RB,BAL,5.5,6.0,6.5,0,0,0,0.0,0.0,9,30,0.2,1,1,9,0.0
212,Jason Cabinda,RB,DET,5.5,7.9,10.3,0,0,0,0.0,0.0,2,9,0.1,6,5,31,0.2
213,Ricky Person,RB,BAL,5.5,6.0,6.5,0,0,0,0.0,0.0,9,30,0.2,1,1,9,0.0
214,Khari Blasingame,RB,CHI,5.4,8.1,10.7,0,0,0,0.0,0.0,3,12,0.0,7,5,34,0.2
215,Nate McCrary,RB,BAL,5.4,5.9,6.4,0,0,0,0.0,0.0,9,29,0.2,1,1,9,0.0
216,Mike Davis,RB,BAL,5.0,5.5,6.1,0,0,0,0.0,0.0,7,30,0.2,1,1,7,0.0
217,Nick Bawden,RB,NYJ,4.9,7.3,9.6,0,0,0,0.0,0.0,1,4,0.0,6,5,34,0.2
218,Mike Boone,RB,DEN,4.7,4.9,5.2,0,0,0,0.0,0.0,7,29,0.2,1,1,3,0.0
219,Kyren Williams,RB,LAR,4.6,5.0,5.4,0,0,0,0.0,0.0,7,23,0.2,1,1,7,0.0
220,Derek Watt,RB,PIT,3.1,4.9,6.5,0,0,0,0.0,0.0,1,3,0.0,4,3,22,0.1
221,Qadree Ollison,RB,ATL,3.1,3.4,3.6,0,0,0,0.0,0.0,7,28,0.0,1,1,3,0.0
222,J.J. Taylor,RB,NE,3.0,3.0,3.0,0,0,0,0.0,0.0,4,19,0.2,0,0,0,0.0
223,Nick Bellore,RB,SEA,2.6,3.7,4.9,0,0,0,0.0,0.0,0,1,0.0,3,2,19,0.1
224,Caleb Huntley,RB,ATL,2.5,2.8,3.0,0,0,0,0.0,0.0,4,15,0.1,1,1,3,0.0
225,Duke Johnson,RB,BUF,2.4,2.4,2.4,0,0,0,0.0,0.0,3,16,0.1,0,0,0,0.0
226,Ty Johnson,RB,NYJ,2.3,2.3,2.3,0,0,0,0.0,0.0,3,15,0.1,0,0,0,0.0
227,Jeremy McNichols,RB,PIT,2.3,2.3,2.3,0,0,0,0.0,0.0,4,20,0.1,0,0,0,0.0
